dataset,segment_id,model,n_frames,n_iters,delta_FR,delta_IMU,duration_s,mean_err_deg_s,median_err_deg_s,mean_dir_err_deg,mean_beta
boxes_rotation,seg_B,cook,25,100,0.2,0.0,0.5,13.73218912081543,14.477508435993782,8.6840041477233,1.2607488788116892
boxes_rotation,seg_B,cook,25,100,0.3,0.0,0.5,13.740046664147236,14.40839937356336,8.624771360915078,1.2621701409202837
boxes_rotation,seg_B,cook,25,100,0.5,0.0,0.5,13.743519967753313,14.343096449021141,8.56861681749614,1.263398003519451
boxes_rotation,seg_B,cook,50,75,0.1,0.0,1.0,35.78640113765896,19.787381544569154,54.222703441025914,1.1610250680092289
boxes_rotation,seg_B,cook,50,75,0.2,0.0,1.0,35.758851585346285,19.801141787350666,54.08115843942151,1.1641325347697664
boxes_rotation,seg_B,cook,50,75,0.3,0.0,1.0,35.74585716815342,19.799275259167153,54.02832478000823,1.1652900702179951
boxes_rotation,seg_B,cook,50,75,0.5,0.0,1.0,35.73803578468343,19.79755843907673,53.986533131637636,1.1661092048001873
boxes_rotation,seg_B,cook,50,100,0.1,0.0,1.0,35.73111065190898,19.837678935774555,53.950802796712544,1.1676963741059625
boxes_rotation,seg_B,cook,50,100,0.2,0.0,1.0,35.714736352050885,19.839300091123036,53.8311455916934,1.1701927097365754
boxes_rotation,seg_B,cook,50,100,0.3,0.0,1.0,35.711881839335476,19.84054611218879,53.791767345052484,1.1709591359819023
boxes_rotation,seg_B,cook,50,100,0.5,0.0,1.0,35.70893413690865,19.84136559006385,53.760946441864924,1.171585358143543
boxes_rotation,seg_B,cook,150,75,0.1,0.0,3.0,47.321043600219234,43.122135652637034,85.81881229098727,1.0653238906210845
boxes_rotation,seg_B,cook,150,75,0.2,0.0,3.0,47.34422737072664,43.21390319297355,85.84105506420715,1.0658448969605812
boxes_rotation,seg_B,cook,150,75,0.3,0.0,3.0,47.35379587005451,43.247619917174916,85.85048413100796,1.0659995957765052
boxes_rotation,seg_B,cook,150,75,0.5,0.0,3.0,47.36373702933503,43.28069927358327,85.85896647829226,1.0660148273615115
boxes_rotation,seg_B,cook,150,100,0.1,0.0,3.0,47.37386405054244,43.31222571762369,85.87359624042242,1.066396057529145
boxes_rotation,seg_B,cook,150,100,0.2,0.0,3.0,47.417515953453645,43.43650546599386,85.91152224702034,1.066176551725071
boxes_rotation,seg_B,cook,150,100,0.3,0.0,3.0,47.43505189390772,43.4798786253125,85.92902895370632,1.0660897656902137
boxes_rotation,seg_B,cook,150,100,0.5,0.0,3.0,47.450876178133086,43.524324802731456,85.94156595863845,1.0658653608436275
boxes_rotation,seg_B,thesis,25,75,0.1,0.0,0.5,20.208069512214635,18.726488880878843,8.145757033136068,1.6029383577373633
boxes_rotation,seg_B,thesis,25,75,0.2,0.0,0.5,20.428356822955447,18.709847744924442,8.360167866899639,1.6126081108448325
boxes_rotation,seg_B,thesis,25,75,0.3,0.0,0.5,20.504019394356423,19.01567080398728,8.44977196674517,1.615785321540192
boxes_rotation,seg_B,thesis,25,75,0.5,0.0,0.5,20.56107953612673,19.328617687687142,8.522004778692997,1.618159856035547
boxes_rotation,seg_B,thesis,25,100,0.1,0.0,0.5,20.407853356940304,18.645048522073697,8.320948392704503,1.6126397107478696
boxes_rotation,seg_B,thesis,25,100,0.2,0.0,0.5,20.582594218132666,19.185903610993297,8.532998944441099,1.6199248077665709
boxes_rotation,seg_B,thesis,25,100,0.3,0.0,0.5,20.642801143760966,19.5543924206467,8.62134782064571,1.6222662084893467
